,type,price,index,position,capital
198,BUY,585.5599975585938,2026-03-24 18:51:00+00:00,195.0581217957844,
199,SELL,585.7098999023438,2026-03-24 18:54:00+00:00,,114247.47299214805
200,BUY,585.3300170898438,2026-03-24 18:59:00+00:00,195.18471572697752,
201,SELL,585.969970703125,2026-03-24 19:20:00+00:00,,114372.3821562348
202,BUY,587.9400024414062,2026-03-25 14:03:00+00:00,194.53070327126292,
203,SELL,588.7000122070312,2026-03-25 14:06:00+00:00,,114520.22739043485
204,BUY,588.2000122070312,2026-03-25 14:07:00+00:00,194.6960642872729,
205,SELL,590.2000122070312,2026-03-25 14:39:00+00:00,,114909.6195190094
206,BUY,590.110107421875,2026-03-25 14:40:00+00:00,194.72572673095985,
207,SELL,590.719970703125,2026-03-25 14:53:00+00:00,,115028.37558965733
208,BUY,590.5800170898438,2026-03-25 14:55:00+00:00,194.77187216132694,
209,SELL,590.6900024414062,2026-03-25 14:58:00+00:00,,115049.79764249148
210,BUY,587.7000122070312,2026-03-25 15:23:00+00:00,195.76279607420267,
211,SELL,588.739990234375,2026-03-25 15:36:00+00:00,,115253.38664898003
212,BUY,587.530029296875,2026-03-25 15:54:00+00:00,196.1659505079412,
213,SELL,587.8599853515625,2026-03-25 15:59:00+00:00,,115318.11279207365
214,BUY,587.3400268554688,2026-03-25 16:19:00+00:00,196.33961167174266,
215,SELL,587.4650268554688,2026-03-25 16:20:00+00:00,,115342.6552435326
216,BUY,587.3350219726562,2026-03-25 16:21:00+00:00,196.38307086837136,
217,SELL,589.2098999023438,2026-03-25 16:46:00+00:00,,115710.84952886797
218,BUY,588.7999877929688,2026-03-25 16:52:00+00:00,196.51978927953664,
219,SELL,589.0698852539062,2026-03-25 16:56:00+00:00,,115763.88972101848
220,BUY,588.8300170898438,2026-03-25 16:59:00+00:00,196.59984437130896,
221,SELL,589.239990234375,2026-03-25 17:01:00+00:00,,115844.49037742974
222,BUY,588.1599731445312,2026-03-25 17:11:00+00:00,196.9608536230036,
223,SELL,588.7100219726562,2026-03-25 17:14:00+00:00,,115952.82846415158
224,BUY,588.3800048828125,2026-03-25 17:20:00+00:00,197.07132720671885,
225,SELL,588.9600219726562,2026-03-25 17:30:00+00:00,,116067.13320184966
226,BUY,588.6799926757812,2026-03-25 17:31:00+00:00,197.16507210357034,
227,SELL,589.489990234375,2026-03-25 17:47:00+00:00,,116226.83642889353
228,BUY,589.1199951171875,2026-03-25 17:57:00+00:00,197.2889010595774,
229,SELL,589.1300048828125,2026-03-25 17:58:00+00:00,,116228.81124455355
230,BUY,588.8800048828125,2026-03-25 18:04:00+00:00,197.37265704527218,
231,SELL,589.1300048828125,2026-03-25 18:06:00+00:00,,116278.15440881488
232,BUY,588.8800048828125,2026-03-25 18:10:00+00:00,197.45644858828973,
233,SELL,589.2899780273438,2026-03-25 18:25:00+00:00,,116359.1062499506
234,BUY,586.7000122070312,2026-03-25 19:12:00+00:00,198.32811288384715,
235,SELL,587.8316040039062,2026-03-25 19:24:00+00:00,,116583.53271557965
